Year,State,Industry,Study_Level,Employment_Type,Nationality,Gender,Student_Count,Visa_Applications,Post_Study_Work,Job_Placement,Skilled_Visa,PR_Grant,Employment_Rate,Job_Achieved_Pct,Salary,Migration_Reason,Left_Australia
2022,NSW,Health,UG,FT,Brazil,Male,409,763,180,179,62,6,93.91,82.23,135563,Visa Issues,0
2022,NSW,Health,UG,FT,Brazil,Female,363,121,285,118,58,63,82.8,42.1,57296,Financial Pressures,0
2022,NSW,Health,UG,FT,Brazil,Others,293,931,298,160,60,11,74.88,42.93,66752,Migration Pathway Issues,1
2022,NSW,Health,UG,FT,Malaysia,Male,291,876,139,82,11,64,73.21,62.28,97104,Visa Issues,0
2022,NSW,Health,UG,FT,Malaysia,Female,437,101,183,83,13,58,70.08,77.9,139453,Lack of Job Opportunities,0
2022,NSW,Health,UG,FT,Malaysia,Others,319,962,97,44,81,66,80.22,57.49,142878,Job Opportunities in Home Country,0
2022,NSW,Health,UG,FT,India,Male,266,863,237,153,50,33,95.0,47.69,102929,Migration Pathway Issues,1
2022,NSW,Health,UG,FT,India,Female,185,571,112,168,90,12,94.15,82.18,100392,Lack of Job Opportunities,0
2022,NSW,Health,UG,FT,India,Others,90,127,184,230,81,16,80.42,47.15,96266,Job Opportunities in Home Country,1
2022,NSW,Health,UG,PT,Pakistan,Male,304,497,152,56,18,19,72.83,59.77,57009,Migration Pathway Issues,0
2022,NSW,Health,UG,PT,Pakistan,Female,145,999,271,180,24,47,76.01,82.43,40379,Lack of Job Opportunities,0
2022,NSW,Health,UG,PT,Pakistan,Others,111,745,77,57,53,34,95.0,54.6,36424,Migration Pathway Issues,0
2022,NSW,Health,UG,PT,UK,Male,274,484,170,56,71,7,69.24,47.24,29249,Migration Pathway Issues,0
2022,NSW,Health,UG,PT,UK,Female,221,763,256,88,41,56,81.55,62.8,64202,Visa Issues,0
2022,NSW,Health,UG,PT,UK,Others,435,486,162,130,65,63,90.03,46.97,27512,Job Opportunities in Home Country,0
2022,NSW,Health,UG,PT,China,Male,434,502,175,159,62,48,84.45,70.07,65240,Visa Issues,0
2022,NSW,Health,UG,PT,China,Female,233,222,194,67,33,73,90.81,73.99,47819,Migration Pathway Issues,0
2022,NSW,Health,UG,PT,China,Others,236,425,257,122,12,24,80.25,53.9,47852,Financial Pressures,0
2022,NSW,Health,UG,CAS,Germany,Male,200,514,271,71,16,20,95.0,51.99,23524,Migration Pathway Issues,0
2022,NSW,Health,UG,CAS,Germany,Female,189,552,86,189,18,23,94.05,64.3,25648,Migration Pathway Issues,0
2022,NSW,Health,UG,CAS,Germany,Others,124,724,249,193,47,29,69.17,37.79,23934,Financial Pressures,0
2022,NSW,Health,UG,CAS,Indonesia,Male,218,260,117,62,23,25,75.17,56.49,45607,Financial Pressures,0
2022,NSW,Health,UG,CAS,Indonesia,Female,82,787,253,216,95,26,77.42,83.79,24218,Financial Pressures,1
2022,NSW,Health,UG,CAS,Indonesia,Others,332,126,275,50,39,32,92.08,78.89,42882,Financial Pressures,0
2022,NSW,Health,UG,CAS,USA,Male,241,148,66,201,39,50,95.0,48.16,54104,Job Opportunities in Home Country,1
2022,NSW,Health,UG,CAS,USA,Female,351,280,144,128,69,67,79.55,41.3,47668,Financial Pressures,0
2022,NSW,Health,UG,CAS,USA,Others,330,834,103,87,76,50,72.35,57.52,28046,Lack of Job Opportunities,0
2022,NSW,Health,PG-C,FT,UK,Male,355,507,62,89,16,61,90.66,36.56,61986,Visa Issues,1
2022,NSW,Health,PG-C,FT,UK,Female,192,191,147,95,41,67,70.24,45.71,113671,Job Opportunities in Home Country,1
2022,NSW,Health,PG-C,FT,UK,Others,107,441,98,209,51,74,79.46,48.13,77410,Visa Issues,0
2022,NSW,Health,PG-C,FT,Indonesia,Male,54,202,245,35,56,59,73.77,45.97,74423,Lack of Job Opportunities,0
2022,NSW,Health,PG-C,FT,Indonesia,Female,194,219,112,48,67,59,77.65,48.3,61139,Migration Pathway Issues,0
2022,NSW,Health,PG-C,FT,Indonesia,Others,178,157,171,30,43,52,75.31,82.06,58012,Job Opportunities in Home Country,1
2022,NSW,Health,PG-C,FT,Italy,Male,496,680,71,122,76,30,81.28,77.81,127667,Visa Issues,0
2022,NSW,Health,PG-C,FT,Italy,Female,143,849,239,226,85,20,72.38,65.23,129302,Job Opportunities in Home Country,0
2022,NSW,Health,PG-C,FT,Italy,Others,59,857,118,129,43,56,81.92,71.57,65788,Migration Pathway Issues,0
2022,NSW,Health,PG-C,PT,Germany,Male,494,790,220,130,21,71,95.0,55.45,39458,Job Opportunities in Home Country,0
2022,NSW,Health,PG-C,PT,Germany,Female,351,997,292,64,96,12,82.3,56.54,66572,Financial Pressures,0
2022,NSW,Health,PG-C,PT,Germany,Others,245,925,294,143,84,33,70.35,47.05,53655,Job Opportunities in Home Country,1
2022,NSW,Health,PG-C,PT,USA,Male,241,838,226,128,45,28,95.0,55.49,53887,Migration Pathway Issues,0
2022,NSW,Health,PG-C,PT,USA,Female,328,316,148,134,39,21,87.43,52.99,27437,Job Opportunities in Home Country,1
2022,NSW,Health,PG-C,PT,USA,Others,226,711,189,218,28,13,80.02,70.34,65937,Visa Issues,0
2022,NSW,Health,PG-C,PT,Brazil,Male,416,243,166,98,21,29,88.1,49.57,63340,Migration Pathway Issues,0
2022,NSW,Health,PG-C,PT,Brazil,Female,230,141,235,196,23,9,94.43,64.57,31081,Visa Issues,0
2022,NSW,Health,PG-C,PT,Brazil,Others,491,591,194,36,55,17,76.68,57.85,38439,Lack of Job Opportunities,0
2022,NSW,Health,PG-C,CAS,Brazil,Male,464,886,238,137,63,43,83.64,80.79,30242,Financial Pressures,0
2022,NSW,Health,PG-C,CAS,Brazil,Female,291,319,175,87,29,76,73.05,69.21,48612,Financial Pressures,0
2022,NSW,Health,PG-C,CAS,Brazil,Others,239,604,240,142,34,60,87.23,59.64,56320,Visa Issues,1
2022,NSW,Health,PG-C,CAS,Indonesia,Male,222,928,96,178,89,79,95.0,51.38,37677,Visa Issues,0
2022,NSW,Health,PG-C,CAS,Indonesia,Female,96,332,98,43,24,35,95.0,71.36,56933,Migration Pathway Issues,1
2022,NSW,Health,PG-C,CAS,Indonesia,Others,379,835,65,229,85,28,90.39,52.48,45714,Visa Issues,0
2022,NSW,Health,PG-C,CAS,China,Male,235,415,227,57,50,68,84.64,44.77,41544,Migration Pathway Issues,0
2022,NSW,Health,PG-C,CAS,China,Female,269,851,206,170,55,39,95.0,89.36,47204,Job Opportunities in Home Country,0
2022,NSW,Health,PG-C,CAS,China,Others,499,109,105,59,14,37,95.0,66.55,53646,Lack of Job Opportunities,0
2022,NSW,Health,PG-R,FT,Pakistan,Male,246,962,182,131,12,57,89.19,72.68,59771,Lack of Job Opportunities,0
2022,NSW,Health,PG-R,FT,Pakistan,Female,134,177,250,139,10,55,78.48,49.33,138096,Migration Pathway Issues,1
2022,NSW,Health,PG-R,FT,Pakistan,Others,83,447,144,101,48,30,86.19,61.43,113906,Financial Pressures,0
2022,NSW,Health,PG-R,FT,Brazil,Male,498,153,285,162,66,21,73.62,41.3,107086,Job Opportunities in Home Country,0
2022,NSW,Health,PG-R,FT,Brazil,Female,115,174,228,132,47,68,69.5,55.78,120472,Lack of Job Opportunities,0
2022,NSW,Health,PG-R,FT,Brazil,Others,396,534,240,81,47,34,90.46,78.81,101773,Lack of Job Opportunities,1
2022,NSW,Health,PG-R,FT,Vietnam,Male,379,884,133,245,78,38,90.42,33.38,97903,Financial Pressures,0
2022,NSW,Health,PG-R,FT,Vietnam,Female,420,210,298,180,64,79,73.79,41.3,103488,Financial Pressures,1
2022,NSW,Health,PG-R,FT,Vietnam,Others,204,192,209,207,70,55,70.41,28.56,98002,Job Opportunities in Home Country,0
2022,NSW,Health,PG-R,PT,Vietnam,Male,75,903,50,37,61,51,81.78,37.08,44219,Lack of Job Opportunities,1
2022,NSW,Health,PG-R,PT,Vietnam,Female,63,798,105,144,16,7,95.0,37.82,50183,Visa Issues,0
2022,NSW,Health,PG-R,PT,Vietnam,Others,343,838,164,44,73,32,69.69,32.7,30737,Lack of Job Opportunities,0
2022,NSW,Health,PG-R,PT,UK,Male,74,244,62,241,34,72,81.25,51.9,43040,Visa Issues,0
2022,NSW,Health,PG-R,PT,UK,Female,83,722,57,197,92,46,78.79,42.25,59732,Lack of Job Opportunities,0
2022,NSW,Health,PG-R,PT,UK,Others,364,976,247,150,42,57,72.51,35.16,69695,Visa Issues,1
2022,NSW,Health,PG-R,PT,Germany,Male,495,929,143,124,33,59,95.0,33.86,29594,Visa Issues,1
2022,NSW,Health,PG-R,PT,Germany,Female,55,421,261,249,84,8,69.18,67.1,34940,Migration Pathway Issues,1
2022,NSW,Health,PG-R,PT,Germany,Others,252,491,75,208,54,48,76.08,66.85,65594,Financial Pressures,0
2022,NSW,Health,PG-R,CAS,China,Male,439,789,297,39,14,27,87.94,53.0,25144,Lack of Job Opportunities,0
2022,NSW,Health,PG-R,CAS,China,Female,368,712,122,46,18,79,85.32,72.66,40629,Migration Pathway Issues,1
2022,NSW,Health,PG-R,CAS,China,Others,493,335,227,107,84,13,76.07,61.63,25208,Visa Issues,1
